Licence No.,Licensee,Street#,Street Name,Unit,City,Postal Code,Bus. Phone,Operating As,Ward,Category
P90-4313817,OASIS ADDICTION RECOVERY SOCIETY,116,WINNERS CIR,,"TORONTO, ON",M4L 3Z7,(416) 751-0553,,32,CLOTHING DROP BOX LOCATION PERMIT
P90-4313834,OASIS ADDICTION RECOVERY SOCIETY,33,WINONA DR,,"TORONTO, ON",M6G 3Z7,(416) 751-0553,,21,CLOTHING DROP BOX LOCATION PERMIT
P90-4313837,OASIS ADDICTION RECOVERY SOCIETY,80,WINTERS LANE,,"TORONTO, ON",M3J 1P3,(416) 751-0553,,8,CLOTHING DROP BOX LOCATION PERMIT
P90-4313838,OASIS ADDICTION RECOVERY SOCIETY,1240,WOODBINE AVE,,"TORONTO, ON",M4C 4E4,(416) 751-0553,,31,CLOTHING DROP BOX LOCATION PERMIT
P90-4313846,OASIS ADDICTION RECOVERY SOCIETY,4695,YONGE ST,,"TORONTO, ON",M2N 5M3,(416) 751-0553,,23,CLOTHING DROP BOX LOCATION PERMIT
P90-4313855,OASIS ADDICTION RECOVERY SOCIETY,5460,YONGE ST,,"TORONTO, ON",M2N 6K7,(416) 751-0553,,23,CLOTHING DROP BOX LOCATION PERMIT
P90-4419731,CANADIAN COMMUNITY SUPPORT FOUNDATION,8,GODSTONE RD,,"TORONTO, ON",M2J 3C4,,,33,CLOTHING DROP BOX LOCATION PERMIT
P90-4419736,CANADIAN COMMUNITY SUPPORT FOUNDATION,25,CEDARCROFT BLVD,,"TORONTO, ON",M2R 2Z3,,,10,CLOTHING DROP BOX LOCATION PERMIT
P90-4419739,CANADIAN COMMUNITY SUPPORT FOUNDATION,1865,MARTIN GROVE RD,,"TORONTO, ON",M9V 3S7,,,1,CLOTHING DROP BOX LOCATION PERMIT
P90-4419740,CANADIAN COMMUNITY SUPPORT FOUNDATION,2515,BATHURST ST,,"TORONTO, ON",M6B 2Z1,,,16,CLOTHING DROP BOX LOCATION PERMIT
P90-4419741,CANADIAN COMMUNITY SUPPORT FOUNDATION,95,REDPATH AVE,,"TORONTO, ON",M4S 2K1,,,22,CLOTHING DROP BOX LOCATION PERMIT
P90-4419742,CANADIAN COMMUNITY SUPPORT FOUNDATION,368,EGLINTON AVE E,,"TORONTO, ON",M4P 1L9,,,22,CLOTHING DROP BOX LOCATION PERMIT
P90-4419743,CANADIAN COMMUNITY SUPPORT FOUNDATION,66,BROADWAY AVE,,"TORONTO, ON",M4P 1T6,,,25,CLOTHING DROP BOX LOCATION PERMIT
P90-4419747,CANADIAN COMMUNITY SUPPORT FOUNDATION,33,HOLLY ST,,"TORONTO, ON",M4S 2G8,,,22,CLOTHING DROP BOX LOCATION PERMIT
P90-4419751,CANADIAN COMMUNITY SUPPORT FOUNDATION,440,EGLINTON AVE E,,"TORONTO, ON",M4P 1M2,,,22,CLOTHING DROP BOX LOCATION PERMIT
P90-4419753,CANADIAN COMMUNITY SUPPORT FOUNDATION,40,STEVENSON RD,,"TORONTO, ON",M9V 2B2,,,1,CLOTHING DROP BOX LOCATION PERMIT
P90-4419754,CANADIAN COMMUNITY SUPPORT FOUNDATION,95,HAVENBROOK BLVD,,"TORONTO, ON",M2J 1A9,,,33,CLOTHING DROP BOX LOCATION PERMIT
P90-4419757,CANADIAN COMMUNITY SUPPORT FOUNDATION,365,GRANDRAVINE DR,,"TORONTO, ON",M3N 1J7,,,9,CLOTHING DROP BOX LOCATION PERMIT
P90-4419758,CANADIAN COMMUNITY SUPPORT FOUNDATION,125,PARKWAY FOREST DR,,"TORONTO, ON",M2J 1L9,,,33,CLOTHING DROP BOX LOCATION PERMIT
P90-4419763,CANADIAN COMMUNITY SUPPORT FOUNDATION,2493,LAKE SHORE BLVD W,,"TORONTO, ON",M8V 1C7,,,6,CLOTHING DROP BOX LOCATION PERMIT
P90-4419767,CANADIAN COMMUNITY SUPPORT FOUNDATION,6161,BATHURST ST,,"TORONTO, ON",M2R 1Z5,,,10,CLOTHING DROP BOX LOCATION PERMIT
P90-4419768,CANADIAN COMMUNITY SUPPORT FOUNDATION,1915,MARTIN GROVE RD,,"TORONTO, ON",M9V 3T2,,,1,CLOTHING DROP BOX LOCATION PERMIT
P90-4419769,CANADIAN COMMUNITY SUPPORT FOUNDATION,2548,KIPLING AVE,,"TORONTO, ON",M9V 3B1,,,1,CLOTHING DROP BOX LOCATION PERMIT
P90-4419771,CANADIAN COMMUNITY SUPPORT FOUNDATION,6171,BATHURST ST,,"TORONTO, ON",M2R 1Z6,,,10,CLOTHING DROP BOX LOCATION PERMIT
P90-4419772,CANADIAN COMMUNITY SUPPORT FOUNDATION,2600,DON MILLS RD,,"TORONTO, ON",M2J 3B4,,,33,CLOTHING DROP BOX LOCATION PERMIT
P90-4419777,CANADIAN COMMUNITY SUPPORT FOUNDATION,80,FOREST MANOR RD,,"TORONTO, ON",M2J 1M6,,,33,CLOTHING DROP BOX LOCATION PERMIT
P90-4419778,CANADIAN COMMUNITY SUPPORT FOUNDATION,100,PARKWAY FOREST DR,,"TORONTO, ON",M2J 1L6,,,33,CLOTHING DROP BOX LOCATION PERMIT
P90-4419791,CANADIAN COMMUNITY SUPPORT FOUNDATION,31,ST DENNIS DR,,"TORONTO, ON",M3C 1G7,,,26,CLOTHING DROP BOX LOCATION PERMIT
P90-4419792,CANADIAN COMMUNITY SUPPORT FOUNDATION,740,DUFFERIN ST,,"TORONTO, ON",M6H 3K6,,,18,CLOTHING DROP BOX LOCATION PERMIT
P90-4419793,CANADIAN COMMUNITY SUPPORT FOUNDATION,1386,BAYVIEW AVE,,"TORONTO, ON",M4G 3A1,,,22,CLOTHING DROP BOX LOCATION PERMIT
P90-4419794,CANADIAN COMMUNITY SUPPORT FOUNDATION,2737,KIPLING AVE,,"TORONTO, ON",M9V 4C3,,,1,CLOTHING DROP BOX LOCATION PERMIT
P90-4422277,GTA FAITH ALLIANCE,1002,LAWRENCE AVE E,,"TORONTO, ON",M3C 1R4,(905) 837-7711,GTA FAITH ALLIANCE,25,CLOTHING DROP BOX LOCATION PERMIT
P90-4422899,B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,225,WILSON AVE,,"TORONTO, ON",M5M 3B2,(416) 633-6224,,16,CLOTHING DROP BOX LOCATION PERMIT
P90-4422901,B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,270,WILSON AVE,,"TORONTO, ON",M3H 1S6,(416) 633-6224,,10,CLOTHING DROP BOX LOCATION PERMIT
P90-4422905,B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,8,PAILTON CRES,,"TORONTO, ON",M4S 2H8,(416) 633-6224,,22,CLOTHING DROP BOX LOCATION PERMIT
P90-4422906,B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,121,PARKWAY FOREST DR,,"TORONTO, ON",M2J 5H4,(416) 633-6224,,33,CLOTHING DROP BOX LOCATION PERMIT
P90-4422907,B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,640,ROSELAWN AVE,,"TORONTO, ON",M5N 1K9,(416) 633-6224,,16,CLOTHING DROP BOX LOCATION PERMIT
P90-4422909,B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,270,WILSON AVE,,"TORONTO, ON",M3H 1S6,(416) 633-6224,,10,CLOTHING DROP BOX LOCATION PERMIT
P90-4422912,B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,1639,BLOOR ST W,,"TORONTO, ON",M6P 1A6,(416) 633-6224,,14,CLOTHING DROP BOX LOCATION PERMIT
P90-4422913,B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,23,CRAIGTON DR,,"TORONTO, ON",M1L 2N5,(416) 633-6224,,37,CLOTHING DROP BOX LOCATION PERMIT
P90-4422914,B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,9,CRAIGTON DR,,"TORONTO, ON",M1L 2N5,(416) 633-6224,,37,CLOTHING DROP BOX LOCATION PERMIT
P90-4422915,B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,59,ISABELLA ST,,"TORONTO, ON",M4Y 1M9,(416) 633-6224,,27,CLOTHING DROP BOX LOCATION PERMIT
P90-4422917,B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,88,ERSKINE AVE,,"TORONTO, ON",M4P 1Y3,(416) 633-6224,,25,CLOTHING DROP BOX LOCATION PERMIT
P90-4425729,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1,ANTRIM CRES,,"TORONTO, ON",M1P 4P2,(416) 244-9686,,40,CLOTHING DROP BOX LOCATION PERMIT
P90-4425730,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1,BIGGIN CRT,,"TORONTO, ON",M4A 1L9,(416) 244-9686,,34,CLOTHING DROP BOX LOCATION PERMIT
P90-4425731,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,10,WILLOWRIDGE RD,,"TORONTO, ON",M9R 3Y8,(416) 244-9686,,4,CLOTHING DROP BOX LOCATION PERMIT
P90-4425732,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,100,SPRUCEWOOD CRT,,"TORONTO, ON",M1W 2P2,(416) 244-9686,,40,CLOTHING DROP BOX LOCATION PERMIT
P90-4425733,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,11,ANTRIM CRES,,"TORONTO, ON",M1P 4P3,(416) 244-9686,,40,CLOTHING DROP BOX LOCATION PERMIT
P90-4425734,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,111,COMBERMERE DR,,"TORONTO, ON",M3A 2W6,(416) 244-9686,,34,CLOTHING DROP BOX LOCATION PERMIT
P90-4425736,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,260,SENECA HILL DR,,"TORONTO, ON",M2J 4S6,(416) 244-9686,,33,CLOTHING DROP BOX LOCATION PERMIT
P90-4425737,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,350,SENECA HILL DR,,"TORONTO, ON",M2J 4S7,(416) 244-9686,,33,CLOTHING DROP BOX LOCATION PERMIT
P90-4425740,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,121,COMBERMERE DR,,"TORONTO, ON",M3A 2W7,(416) 244-9686,,34,CLOTHING DROP BOX LOCATION PERMIT
P90-4425742,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1407,ROYAL YORK RD,,"TORONTO, ON",M9P 3A6,(416) 244-9686,,4,CLOTHING DROP BOX LOCATION PERMIT
P90-4425744,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,150,GRAYDON HALL DR,,"TORONTO, ON",M3A 3B2,(416) 244-9686,,34,CLOTHING DROP BOX LOCATION PERMIT
P90-4425746,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,20,ANTRIM CRES,,"TORONTO, ON",M1P 4N3,(416) 244-9686,,40,CLOTHING DROP BOX LOCATION PERMIT
P90-4425748,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,20,CHICHESTER PL,,"TORONTO, ON",M1T 1G6,(416) 244-9686,ONTARIO FEDERATION FOR CEREBRAL PALSY,40,CLOTHING DROP BOX LOCATION PERMIT
P90-4425750,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,21,RICHGROVE DR,,"TORONTO, ON",M9R 2L2,(416) 244-9686,,7,CLOTHING DROP BOX LOCATION PERMIT
P90-4425752,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,22,OAKMOUNT RD,,"TORONTO, ON",M6P 2M7,(416) 244-9686,,13,CLOTHING DROP BOX LOCATION PERMIT
P90-4425753,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,22,WILLOWRIDGE RD,,"TORONTO, ON",M9R 3Y9,(416) 244-9686,,4,CLOTHING DROP BOX LOCATION PERMIT
P90-4425754,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,2239,EGLINTON AVE E,,"TORONTO, ON",M1K 2N1,(416) 244-9686,,35,CLOTHING DROP BOX LOCATION PERMIT
P90-4425758,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,25,MARTHA EATON WAY,,"TORONTO, ON",M6M 5B7,(416) 244-9686,,12,CLOTHING DROP BOX LOCATION PERMIT
P90-4425759,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,250,BRENYON WAY,,"TORONTO, ON",M1B 3G3,(416) 244-9686,,42,CLOTHING DROP BOX LOCATION PERMIT
P90-4425761,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,2550,KINGSTON RD,,"TORONTO, ON",M1M 1L7,(416) 244-9686,,36,CLOTHING DROP BOX LOCATION PERMIT
P90-4425762,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,263,DIXON RD,,"TORONTO, ON",M9R 1R6,(416) 244-9686,,4,CLOTHING DROP BOX LOCATION PERMIT
P90-4425764,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,265,DIXON RD,,"TORONTO, ON",M9R 1R7,(416) 244-9686,,4,CLOTHING DROP BOX LOCATION PERMIT
P90-4425767,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,2667,KIPLING AVE,,"TORONTO, ON",M9V 4N9,(416) 244-9686,,1,CLOTHING DROP BOX LOCATION PERMIT
P90-4425769,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,2677,KIPLING AVE,,"TORONTO, ON",M9V 4P1,(416) 244-9686,,1,CLOTHING DROP BOX LOCATION PERMIT
P90-4425770,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,30,ANTRIM CRES,,"TORONTO, ON",M1P 4S4,(416) 244-9686,,40,CLOTHING DROP BOX LOCATION PERMIT
P90-4425776,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,3700,LAWRENCE AVE E,,"TORONTO, ON",M1G 3T2,(416) 244-9686,,38,CLOTHING DROP BOX LOCATION PERMIT
P90-4425777,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,39,RICHVIEW RD,,"TORONTO, ON",M9A 4M7,(416) 244-9686,,4,CLOTHING DROP BOX LOCATION PERMIT
P90-4425779,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,41,ANTRIM CRES,,"TORONTO, ON",M1P 4T1,(416) 244-9686,,40,CLOTHING DROP BOX LOCATION PERMIT
P90-4425780,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,41,MARKBROOK LANE,,"TORONTO, ON",M9V 5E6,(416) 244-9686,,17,CLOTHING DROP BOX LOCATION PERMIT
P90-4425782,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,51,TRAILRIDGE CRES,,"TORONTO, ON",M1E 4S9,(416) 244-9686,,43,CLOTHING DROP BOX LOCATION PERMIT
P90-4425784,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,37,LORD SEATON RD,,"TORONTO, ON",M2P 1K3,(416) 244-9686,,25,CLOTHING DROP BOX LOCATION PERMIT
P90-4425787,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,545,THE WEST MALL,,"TORONTO, ON",M9C 1G6,(416) 244-9686,,3,CLOTHING DROP BOX LOCATION PERMIT
P90-4425788,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,55,COSBURN AVE,,"TORONTO, ON",M4K 2E9,(416) 244-9686,,29,CLOTHING DROP BOX LOCATION PERMIT
P90-4425790,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,55,WYNFORD HEIGHTS CRES,,"TORONTO, ON",M3C 1L5,(416) 244-9686,,26,CLOTHING DROP BOX LOCATION PERMIT
P90-4425792,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,550,SCARBOROUGH GOLF CLUB RD,,"TORONTO, ON",M1G 1H6,(416) 244-9686,,43,CLOTHING DROP BOX LOCATION PERMIT
P90-4425793,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,550,SCARBOROUGH GOLF CLUB RD,,"TORONTO, ON",M1G 1H6,(416) 244-9686,,43,CLOTHING DROP BOX LOCATION PERMIT
P90-4425794,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,3744,ST CLAIR AVE E,,"TORONTO, ON",M1M 1T8,(416) 244-9686,,36,CLOTHING DROP BOX LOCATION PERMIT
P90-4425796,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,40,HIGH PARK AVE,,"TORONTO, ON",M6P 2S1,(416) 244-9686,,13,CLOTHING DROP BOX LOCATION PERMIT
P90-4425797,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,4049,DUNDAS ST W,,"TORONTO, ON",M6S 4Z5,(416) 244-9686,,13,CLOTHING DROP BOX LOCATION PERMIT
P90-4425798,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,420,MILL RD,,"TORONTO, ON",M9C 1Z1,(416) 244-9686,,3,CLOTHING DROP BOX LOCATION PERMIT
P90-4425799,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,50,PANORAMA CRT,,"TORONTO, ON",M9V 4A9,(416) 244-9686,,1,CLOTHING DROP BOX LOCATION PERMIT
P90-4425800,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,642,SHEPPARD AVE E,,"TORONTO, ON",M2K 1B9,(416) 244-9686,,24,CLOTHING DROP BOX LOCATION PERMIT
P90-4425801,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,620,MARTIN GROVE RD,,"TORONTO, ON",M9R 0A5,(416) 244-9686,,4,CLOTHING DROP BOX LOCATION PERMIT
P90-4425802,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,65,WYNFORD HEIGHTS CRES,,"TORONTO, ON",M3C 1L6,(416) 244-9686,,26,CLOTHING DROP BOX LOCATION PERMIT
P90-4425803,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,7,RICHGROVE DR,,"TORONTO, ON",M9R 2L1,(416) 244-9686,,7,CLOTHING DROP BOX LOCATION PERMIT
P90-4425804,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,77,FINCH AVE E,B,"TORONTO, ON",M2N 6H8,(416) 244-9686,,23,CLOTHING DROP BOX LOCATION PERMIT
P90-4425805,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,77,FINCH AVE E,B,"TORONTO, ON",M2N 6H8,(416) 244-9686,,23,CLOTHING DROP BOX LOCATION PERMIT
P90-4425807,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,875,KENNEDY RD,,"TORONTO, ON",M1K 2G1,(416) 244-9686,,35,CLOTHING DROP BOX LOCATION PERMIT
P90-4425809,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1A,RICHVIEW RD,,"TORONTO, ON",M9A 4M5,(416) 244-9686,,4,CLOTHING DROP BOX LOCATION PERMIT
P90-4425810,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1B,RICHVIEW RD,,"TORONTO, ON",M9A 4M6,(416) 244-9686,,4,CLOTHING DROP BOX LOCATION PERMIT
P90-4425811,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,10,ALTON TOWERS CIR,,"TORONTO, ON",M1V 5A1,(416) 244-9686,,41,CLOTHING DROP BOX LOCATION PERMIT
P90-4425812,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,100,ROWENA DR,,"TORONTO, ON",M3A 1R1,(416) 244-9686,,34,CLOTHING DROP BOX LOCATION PERMIT
P90-4425813,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,111,GORDON BAKER RD,,"TORONTO, ON",M2H 3R1,(416) 244-9686,,24,CLOTHING DROP BOX LOCATION PERMIT
P90-4425816,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1217,YORK MILLS RD,,"TORONTO, ON",M3A 1Y4,(416) 244-9686,,34,CLOTHING DROP BOX LOCATION PERMIT
P90-4425818,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,150,ALTON TOWERS CIR,,"TORONTO, ON",M1V 4X7,(416) 244-9686,,41,CLOTHING DROP BOX LOCATION PERMIT
P90-4425819,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,160,ALTON TOWERS CIR,,"TORONTO, ON",M1V 4X8,(416) 244-9686,,41,CLOTHING DROP BOX LOCATION PERMIT
P90-4425820,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1779,JANE ST,,"TORONTO, ON",M9N 3V7,(416) 244-9686,,12,CLOTHING DROP BOX LOCATION PERMIT
P90-4425821,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,2185,LAWRENCE AVE E,,"TORONTO, ON",M1P 2P6,(416) 244-9686,,37,CLOTHING DROP BOX LOCATION PERMIT
P90-4425822,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,22,BISHOP TUTU BLVD,,"TORONTO, ON",M5V 2Z7,(416) 244-9686,,19,CLOTHING DROP BOX LOCATION PERMIT
P90-4425824,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,2345,LAKE SHORE BLVD W,,"TORONTO, ON",M8V 1B7,(416) 244-9686,,6,CLOTHING DROP BOX LOCATION PERMIT
P90-4425828,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,3050,PHARMACY AVE,,"TORONTO, ON",M1W 2N7,(416) 244-9686,,39,CLOTHING DROP BOX LOCATION PERMIT
P90-4425830,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,644,SHEPPARD AVE E,,"TORONTO, ON",M2K 1C1,(416) 244-9686,,24,CLOTHING DROP BOX LOCATION PERMIT
P90-4425833,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,680,QUEENS QUAY W,,"TORONTO, ON",M5V 2Y9,(416) 244-9686,,20,CLOTHING DROP BOX LOCATION PERMIT
P90-4425835,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,77,QUEBEC AVE,,"TORONTO, ON",M6P 2T4,(416) 244-9686,,13,CLOTHING DROP BOX LOCATION PERMIT
P90-4425858,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,77,DAVISVILLE AVE,,"TORONTO, ON",M4S 1G4,(416) 244-9686,,22,CLOTHING DROP BOX LOCATION PERMIT
P90-4425859,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1130,WILSON AVE,,"TORONTO, ON",M3M 1K3,(416) 244-9686,,9,CLOTHING DROP BOX LOCATION PERMIT
P90-4425861,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,125,NEPTUNE DR,,"TORONTO, ON",M6A 1X3,(416) 244-9686,,15,CLOTHING DROP BOX LOCATION PERMIT
P90-4425862,ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,177,LINUS RD,,"TORONTO, ON",M2J 4S5,(416) 244-9686,,33,CLOTHING DROP BOX LOCATION PERMIT
P90-4427520,CANADIAN COMMUNITY SUPPORT FOUNDATION,1675,EGLINTON AVE W,,"TORONTO, ON",M4R 1A8,,,15,CLOTHING DROP BOX LOCATION PERMIT
P90-4427521,CANADIAN COMMUNITY SUPPORT FOUNDATION,793,WILSON AVE,,"TORONTO, ON",M3K 1E4,,,9,CLOTHING DROP BOX LOCATION PERMIT
P90-4427729,CANADIAN COMMUNITY SUPPORT FOUNDATION,5215,YONGE ST,,"TORONTO, ON",M2N 5P7,,,23,CLOTHING DROP BOX LOCATION PERMIT
P90-4427833,CANADIAN COMMUNITY SUPPORT FOUNDATION,50,GRAYDON HALL DR,,"TORONTO, ON",M3A 3A4,,,34,CLOTHING DROP BOX LOCATION PERMIT
P90-4427838,CANADIAN COMMUNITY SUPPORT FOUNDATION,65,REXDALE BLVD,,"TORONTO, ON",M9W 1P1,,,2,CLOTHING DROP BOX LOCATION PERMIT
P90-4427839,CANADIAN COMMUNITY SUPPORT FOUNDATION,6600,FINCH AVE W,,"TORONTO, ON",M9V 3Z6,,,1,CLOTHING DROP BOX LOCATION PERMIT
P90-4427840,CANADIAN COMMUNITY SUPPORT FOUNDATION,100,DUNDALK DR,,"TORONTO, ON",M1P 4V2,,,40,CLOTHING DROP BOX LOCATION PERMIT
P90-4427842,CANADIAN COMMUNITY SUPPORT FOUNDATION,80,ALTON TOWERS CIR,,"TORONTO, ON",M1V 5E8,,,41,CLOTHING DROP BOX LOCATION PERMIT
P90-4427857,CANADIAN COMMUNITY SUPPORT FOUNDATION,1465,LAWRENCE AVE W,,"TORONTO, ON",M6L 1B2,,,12,CLOTHING DROP BOX LOCATION PERMIT
P90-4427861,CANADIAN COMMUNITY SUPPORT FOUNDATION,1393,WILSON AVE,,"TORONTO, ON",M3M 1H6,,,9,CLOTHING DROP BOX LOCATION PERMIT
P90-4427863,CANADIAN COMMUNITY SUPPORT FOUNDATION,2980,DON MILLS RD,,"TORONTO, ON",M2J 3B9,,,33,CLOTHING DROP BOX LOCATION PERMIT
P90-4427864,CANADIAN COMMUNITY SUPPORT FOUNDATION,20,ESTERBROOKE AVE,,"TORONTO, ON",M2J 2C3,,,33,CLOTHING DROP BOX LOCATION PERMIT
P90-4427875,CANADIAN COMMUNITY SUPPORT FOUNDATION,3205,YONGE ST,,"TORONTO, ON",M4N 2L3,,,25,CLOTHING DROP BOX LOCATION PERMIT
P90-4427941,CANADIAN COMMUNITY SUPPORT FOUNDATION,1455,WILSON AVE,,"TORONTO, ON",M3M 1H4,,,9,CLOTHING DROP BOX LOCATION PERMIT
P90-4427944,CANADIAN COMMUNITY SUPPORT FOUNDATION,1277,WILSON AVE,,"TORONTO, ON",M3M 1K1,,,9,CLOTHING DROP BOX LOCATION PERMIT
P90-4427945,CANADIAN COMMUNITY SUPPORT FOUNDATION,2900,JANE ST,,"TORONTO, ON",M3N 2J7,,,7,CLOTHING DROP BOX LOCATION PERMIT
P90-4427946,CANADIAN COMMUNITY SUPPORT FOUNDATION,1795,JANE ST,,"TORONTO, ON",M9N 2S7,,,12,CLOTHING DROP BOX LOCATION PERMIT
P90-4427976,CANADIAN COMMUNITY SUPPORT FOUNDATION,921,WILSON AVE,,"TORONTO, ON",M3K 1E9,,,9,CLOTHING DROP BOX LOCATION PERMIT
P90-4427977,CANADIAN COMMUNITY SUPPORT FOUNDATION,450,WINONA DR,,"TORONTO, ON",M6C 3T9,,,17,CLOTHING DROP BOX LOCATION PERMIT
P90-4427980,CANADIAN COMMUNITY SUPPORT FOUNDATION,88,ALTON TOWERS CIR,,"TORONTO, ON",M1V 5C5,,,41,CLOTHING DROP BOX LOCATION PERMIT
P90-4428332,B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,638,SHEPPARD AVE W,,"TORONTO, ON",M3H 2S1,(416) 633-6224,,10,CLOTHING DROP BOX LOCATION PERMIT
P90-4428333,B'NAI BRITH NATIONAL ORGANIZATION OF CANADA,638,SHEPPARD AVE W,,"TORONTO, ON",M3H 2S1,(416) 633-6224,,10,CLOTHING DROP BOX LOCATION PERMIT
P90-4428807,OASIS ADDICTION RECOVERY SOCIETY,1081,PROGRESS AVE,,"TORONTO, ON",M1B 5Z6,(416) 751-0553,,42,CLOTHING DROP BOX LOCATION PERMIT
P90-4428825,GREEN EARTH USED CLOTHING RECYCLING INC,743,BIRCHMOUNT RD,,"TORONTO, ON",M1K 1R5,(416) 894-1666,,35,CLOTHING DROP BOX LOCATION PERMIT
P90-4428847,GREEN EARTH USED CLOTHING RECYCLING INC,609,THE EAST MALL,,"TORONTO, ON",M9B 4A9,(416) 894-1666,,3,CLOTHING DROP BOX LOCATION PERMIT
P90-4428855,GREEN EARTH USED CLOTHING RECYCLING INC,1300,CASTLEFIELD AVE,,"TORONTO, ON",M6B 4B3,(416) 894-1666,,15,CLOTHING DROP BOX LOCATION PERMIT
P90-4428856,GREEN EARTH USED CLOTHING RECYCLING INC,435,BROWNS LINE,,"TORONTO, ON",M8W 3V1,(416) 894-1666,,6,CLOTHING DROP BOX LOCATION PERMIT
P90-4428857,GREEN EARTH USED CLOTHING RECYCLING INC,4050,BLOOR ST W,,"TORONTO, ON",M9B 1M5,(416) 894-1666,,5,CLOTHING DROP BOX LOCATION PERMIT
